Name,URL,Potential Hazardous Asteroid
537342 (2015 KN120),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2537342,False
(2002 EC3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3117424,False
(2015 RO83),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727636,False
(2015 RW83),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727660,False
(2015 RU178),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3728374,False
(2015 ST),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3728370,False
(2016 AF193),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3740494,False
(2016 RT1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3758926,True
(2017 FB3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3771641,False
(2017 GW6),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3773922,False
(2020 GN2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54016507,False
(2021 HA2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54139092,False
