Name,URL,Potential Hazardous Asteroid
162162 (1999 DB7),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2162162,True
443880 (2001 UZ16),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2443880,True
467352 (2003 KZ18),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2467352,False
478784 (2012 UV136),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2478784,False
(2007 DX60),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3369097,False
(2009 SK15),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3467318,False
(2010 RA91),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3546367,False
(2014 EL),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3663258,False
(2014 GC35),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3667121,False
(2015 QT9),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3726684,False
(2015 RV35),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727044,False
(2015 RB37),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727273,False
(2015 TK237),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3730572,False
(2018 GY3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3802577,False
(2019 VS5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3893213,False
(2020 QX4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54051372,False
(2020 SB),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54054405,False
(2021 QH2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54190788,False
(2022 DD1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54248336,False
