Name,URL,Potential Hazardous Asteroid
(2010 MH1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3532365,False
(2012 GB5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3602526,False
(2012 SZ2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3608729,False
(2012 TT145),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3610759,False
(2015 RJ83),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727635,False
(2018 RD2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3827321,False
(2018 SB2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3830873,False
(2019 UN13),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3892165,False
(2020 SZ3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54054600,False
(2022 BV3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54240412,False
