Name,URL,Potential Hazardous Asteroid
440012 (2002 LE27),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2440012,False
(2015 FC35),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3713989,False
(2015 RG2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3726788,False
(2015 RL35),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727036,False
(2015 RH36),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727179,False
(2015 RX83),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727662,False
(2015 RY83),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3727663,False
(2016 RU33),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3759353,False
(2016 RN41),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3759690,False
(2018 RZ2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3827337,False
(2019 QK4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3843641,False
(2020 BY),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3986741,False
(2020 WZ),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54088823,False
